ESD_um_,Area,Eccentricity,EquivDiameter,FilledArea,OD,MajorAxisLength,MeanIntensity,MinorAxisLength,Orientation,Perimeter,Solidity,AspectRatio,Circularity,SettlingVelocity_mpd_
103.1217566,58,0.314152353,8.593479714,58,0.28071242,8.909195328,46.53448276,8.458145771,90,25.092,0.966666667,1.053327239,0.914335472,8.140483299
42.81897879,10,0.676387463,3.568248232,10,0.219300732,4.618802154,26,3.401960219,-39.80557109,9.643,0.909090909,1.357688467,0.768840184,1.585402435
54.16220002,16,0.647503632,4.513516668,16,0.225469467,6.283768766,26.625,4.788623682,-37.562159,17.343,0.727272727,1.312228561,0.479154071,5.356224
23.45292057,3,0.730296743,1.954410048,3,0.222440471,2.581988897,25.66666667,1.763834207,-45,3.093,1,1.463850109,0.969873184,0.608244083
66.3348767,24,0.673879384,5.527906392,24,0.235460697,6.738489526,30.16666667,4.978674859,-4.026846736,16.102,0.888888889,1.353470495,0.814420685,2.8944
27.08110001,4,0.731925055,2.256758334,4,0.212602917,3.055050463,22.25,2.081665999,0,4.59,1,1.467598771,0.840875939,5.148288
92.82933393,47,0.31046246,7.735777828,47,0.342313839,8.042653992,58.93617021,7.6452314,-83.6922778,22.007,0.94,1.051983069,0.933856937,6.84288
109.1674042,65,0.167702755,9.097283683,65,0.337509439,9.391543111,61.18461538,9.25853638,-39.27641619,28.656,0.902777778,1.014365849,0.807857456,8.02368
109.1674042,65,0.65583054,9.097283683,65,0.354758642,10.8840216,62.18461538,8.216436527,-67.87038727,30.451,0.890410959,1.324664478,0.723829324,10.00571586
27.08110001,4,0,2.256758334,4,0.208996853,2.309401077,21.75,2.309401077,0,3.556,1,1,1,2.8944
74.16464679,30,0.738736855,6.180387232,30,0.242302891,8.181041497,32.66666667,5.513972557,-75.50113862,20.229,0.882352941,1.483692821,0.69022656,1.388571429
230.1893501,289,0.674674515,19.18244584,289,0.367763114,22.5932599,67.16262976,16.67643237,-75.0675369,60.488,0.947540984,1.354801758,0.896993758,34.55232
164.170444,147,0.892013298,13.68087033,147,0.342313839,21.11159211,60.20408163,9.542632905,77.37641504,50.556,0.875,2.212344572,0.640645185,11.51218286
70.35876171,27,0.469825579,5.863230143,27,0.267840069,6.373894552,40.07407407,5.626614488,1.543244632,16.102,0.964285714,1.13281167,0.91622327,0.326788861
77.78453777,33,0.56450641,6.482044814,33,0.267840069,7.212825488,40.72727273,5.953673056,-61.42252915,17.417,1,1.211491699,0.981153688,2.402246038
44.90892382,10,0.861063074,3.568248232,10,0.258936453,5.723350685,53.6,2.910313316,-74.09733554,10.776,0.909090909,1.966575438,0.64875635,2.411396129
163.6110882,145,0.582779894,13.58748446,145,0.247750155,15.3998828,34.13103448,12.5144075,-68.72066754,47.579,0.90625,1.230572266,0.708286929,27.49192258
30.27759026,3,0.942809042,1.954410048,3,0.208996853,3.464101615,22.33333333,1.154700538,0,3.92,1,3,0.756006963,0.573696
35.82492793,7,0.688972486,2.985410661,7,0.222440471,3.763583333,25.85714286,2.727798137,-59.52730205,6.831,0.875,1.379714753,0.884487591,0.186014118
35.82492793,7,0.688972486,2.985410661,7,0.234078146,3.763583333,29.42857143,2.727798137,-59.52730205,6.831,0.875,1.379714753,0.884487591,0.558042353
42.81897879,10,0.231455025,3.568248232,10,0.253270458,3.864367132,36.4,3.759432581,-26.56505118,8.907,0.909090909,1.027912338,0.865639809,1.073392941
27.08110001,4,0.731925055,2.256758334,4,0.226938275,3.055050463,26.5,2.081665999,90,4.59,1,1.467598771,0.840875939,0.805513846
182.6720066,182,0.746890815,15.22266722,182,0.42501065,18.7343701,72.73076923,12.45735753,-87.3845746,46.503,0.973262032,1.50387994,0.927977292,27.11380114
35.82492793,7,0.688972486,2.985410661,7,0.284139278,3.763583333,44.42857143,2.727798137,-30.47269795,6.831,1,1.379714753,0.884487591,0.41184
135.4055001,100,0.143562788,11.28379167,100,0.274116992,11.57177832,43.83,11.45190871,-71.87397401,34.743,0.917431193,1.010467217,0.875557394,7.796736
40.62165002,9,0.536748159,3.385137501,9,0.264809505,3.954100962,41,3.336243049,7.627559352,8.146,0.9,1.185195714,0.887666269,1.093147826
27.08110001,4,0,2.256758334,4,0.239580502,2.309401077,32.5,2.309401077,0,3.556,1,1,1,1.442504348
27.08110001,4,0,2.256758334,4,0.247750155,2.309401077,34,2.309401077,0,3.556,1,1,1,0.57024
156.7431984,134,0.73827995,13.0619332,134,0.325943925,16.33064062,61.23880597,11.01492589,-79.29150209,47.008,0.842767296,1.482591965,0.669545111,11.78704193
40.62165002,9,0.907935861,3.385137501,9,0.25608116,5.399179184,28,2.26284535,-4.731161104,8.882,1,2.386013337,0.782318976,2.0119296
132.6697534,96,0.422652126,11.05581278,96,0.222440471,11.83808371,25.63541667,10.7287605,-2.77384896,36.513,0.905660377,1.103397145,0.767174415,50.92325053
52.44232467,15,0.918945592,4.370193722,15,0.212602917,7.406910594,21.06666667,2.921169459,-6.655509584,13.381,0.9375,2.535597712,0.690469869,7.52516129
35.82492793,7,0.91084894,2.985410661,7,0.219300732,5.125684723,24.42857143,2.115574495,-4.307824092,8.328,1,2.422833483,0.668670119,3.015606857
27.08110001,4,0.870424023,2.256758334,4,0.219300732,3.435908801,24,1.691507428,-58.28252559,4.408,1,2.0312703,0.881907054,1.027862069
157.326974,135,0.288252085,13.11058117,135,0.367763114,13.4697062,66.54074074,12.89797859,81.78301049,39.242,0.950704225,1.044326915,0.944382865,15.89193443
33.16743835,6,0.632455532,2.763953196,6,0.217664963,3.333333333,23.5,2.581988897,-45,5.905,1,1.290994449,0.921278728,0.605709474
83.46955606,38,0.471326539,6.955796338,38,0.279042627,7.531632863,44.18421053,6.642589749,-59.43188284,19.402,1,1.133839835,0.939609077,2.062228645
77.78453777,33,0.56450641,6.482044814,33,0.225469467,7.212825488,26.51515152,5.953673056,-61.42252915,17.417,0.970588235,1.211491699,0.981153688,0.744056471
42.81897879,10,0.093933644,3.568248232,10,0.257508807,4.258325179,44.9,4.239496825,90,12.844,0.714285714,1.004441177,0.491759071,5.6016
250.4086682,342,0.819409178,20.86738901,342,0.41895269,28.80940977,71.73099415,16.51381398,-89.60913926,73.994,0.886010363,1.744564266,0.722314493,36.52327385
82.36395021,37,0.531368234,6.863662518,37,0.274116992,7.815138202,39.40540541,6.620523651,-53.02603598,22.652,0.840909091,1.180441097,0.698856348,4.150902857
30.27759026,4,0.866025404,2.256758334,4,0.208996853,3.651483717,22.5,1.825741858,-18.43494882,5.053,0.8,2,0.748540177,3.416626286
27.08110001,4,0,2.256758334,4,0.226938275,2.309401077,27.25,2.309401077,0,3.556,1,1,1,2.847212308
23.45292057,3,0.730296743,1.954410048,3,0.231271157,2.581988897,29.33333333,1.763834207,-45,3.093,1,1.463850109,0.969873184,2.962285714
